Feature.ID	Kingdom	Phylum	Class	Order	Family	Genus	Specie
0e32bc03c02f0711610cfe85bc324ed9	k__Fungi	p__Ascomycota					
08e696d0c9b021ea4456737a0e866bc9	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales			
cb1f9b9c6f9792c420277e0764726bba	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__unidentified	s__unidentified
fc0acb75825a91fd6105014a8a3e06d1	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Mycosymbioces	s__unidentified
4d5ce5be9f2047940ed9b09ad0abbb4e	k__Fungi						
4aceb6340c683b8721af9844ac98d2e9	k__Fungi						
e29a9c09a0e8b8e7b3568fc123530f73	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae		
538794c5ab68b40e1e6f7146467d1e3f	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Thelephorales	f__Thelephoraceae		
9755af7193a77c1b4278af91e82b26e0	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Trapeliales	f__Trapeliaceae	g__Placynthiella	s__Placynthiella_dasaea
3f75186cd7af44c85eda9d61e7dc46cb	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Myxotrichaceae	g__Oidiodendron	s__unidentified
f1900a22f1800dd4fee33a53d92bbb94	k__Fungi						
f4a2e5f5b573d04352b0cc77de88c4d9	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Leptosphaeriaceae	g__Sphaerellopsis	s__Sphaerellopsis_macroconidialis
56c723a1c827ce14b85f1d27e8986eb7	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Sebacinales			
78076787dd1a4e2879c9cf9005caf646	k__Fungi	p__Ascomycota	c__Leotiomycetes				
ce6d71d5bbb9459dd275b4b78f1b56b5	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Capnodiales_fam_Incertae_sedis	g__Phaeotheca	s__Phaeotheca_fissurella
6fab5a38bf072a924cffe18fd783f902	k__Fungi	p__Ascomycota	c__unidentified	o__unidentified	f__unidentified	g__unidentified	s__unidentified
ce1c51864ab4dab7cc12dca00de2d8b9	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Tubeufiales	f__Tubeufiaceae	g__Helicoma	s__Helicoma_fumosum
0c15282651ea822d3f9bf6e3a67ba763	k__Fungi						
764c8d7d64e1faa272ff8696235049d7	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__Mortierella_hyalina
13f00cf61654423676e5d59038be1449	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Atheliales	f__Atheliaceae	g__unidentified	s__unidentified
60694e0310365e45700e0cf8f7ff46d7	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales			
c331cd6fd7b574437df78e5170f84c1a	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Tricholomataceae	g__Mycena	s__Mycena_epipterygia
8928fec96565e34e61c4233940b12003	k__Fungi						
e3bbdda9cb0e5642d519f1da930e6ae0	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales			
258e03447beeed5141ca9a0524a821a5	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Mytilinidales	f__Gloniaceae		
5ee369af7e878bb763e060afe26e692b	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Myxotrichaceae	g__Oidiodendron	
bce3251eb069cb1ba3d020afef595d43	k__Fungi	p__Basidiomycota	c__Agaricomycetes				
07b15f98d9f63a58f848ce03c5e6e19b	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__unidentified	g__unidentified	s__unidentified
f302ea2f32d5ced84b3c2b4fe1ffbd1e	k__Fungi	p__unidentified	c__unidentified	o__unidentified	f__unidentified	g__unidentified	s__unidentified
5734187364a063f9420e3a22d1b35c46	k__Fungi	p__Basidiomycota	c__Agaricomycetes				
e78d62df3f841837bd1a5bf8cd4fb284	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Pertusariales	f__Megasporaceae	g__Aspicilia	s__unidentified
1b2e414e93a416f465edfafeb3361274	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__unidentified	f__unidentified	g__unidentified	s__unidentified
d3e5bd07156fcd75e9631cac6516b901	k__Fungi	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Pyronemataceae	g__Wilcoxina	s__unidentified
86986781e263208068eff18b63c7abac	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Leotiaceae	g__Pezoloma	s__Pezoloma_ericae
a3817af518cd3f33293c0edebddb8d43	k__Fungi						
8aaceb8d549b876c655e7e1c4135f83c	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Atheliales	f__Atheliaceae	g__Piloderma	s__unidentified
f97f5159d4fb95fae8669f0a45f36682	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales			
7f6715fa737a1f5ac06de236d721c840	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__unidentified	s__unidentified
decbaa3a9ba32eea74fd6354b353dab4	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiales_fam_Incertae_sedis	g__Cadophora	s__unidentified
e439de78acd4a59419f2a560f8c8a848	k__Fungi						
ae2d6a4be03906a5cd048ed60fc51a47	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales			
c43736f8dcf408bb6a4ba66235a59fa6	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales			
e29118af084434fe8f5de6114bd34c0a	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Cortinariaceae	g__Cortinarius	s__unidentified
dddf24bbaf8aad7433f0396c1484a134	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales			
2e6255302dbb5fedb7b58a5a02d38993	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales			
